name,sex,bucket,event_year,year,t,count,rank,log_count,proj_log_count,dev_log_count,proj_rank,dev_rank
Miley,F,celebrity,2013,2008,-5,2651,129.0,7.883069351305753,7.801681789413124,0.08138756189262963,127.79999999998836,-1.2000000000116415
Miley,F,celebrity,2013,2009,-4,1737,189.0,7.460490305825338,7.5362430547532995,-0.07575274892796191,182.89999999999418,-6.100000000005821
Miley,F,celebrity,2013,2010,-3,1442,215.0,7.274479558773871,7.270804320093589,0.003675238680282078,238.0,23.0
Miley,F,celebrity,2013,2011,-2,991,316.0,6.899723107284872,7.005365585433765,-0.1056424781488925,293.1000000000058,-22.89999999999418
Miley,F,celebrity,2013,2012,-1,930,341.0,6.836259277277067,6.739926850773941,0.09633242650312646,348.20000000001164,7.2000000000116415
Miley,F,celebrity,2013,2013,0,802,386.0,6.688354713946762,6.474488116114117,0.21386659783264506,403.3000000000029,17.30000000000291
Miley,F,celebrity,2013,2014,1,355,789.0,5.87493073085203,6.209049381454292,-0.334118650602262,458.40000000000873,-330.59999999999127
Miley,F,celebrity,2013,2015,2,263,1016.0,5.575949103146316,5.943610646794582,-0.367661543648266,513.5000000000146,-502.49999999998545
Miley,F,celebrity,2013,2016,3,254,1037.0,5.541263545158426,5.678171912134758,-0.13690836697633202,568.6000000000204,-468.3999999999796
Miley,F,celebrity,2013,2017,4,292,915.0,5.680172609017068,5.412733177474934,0.267439431542134,623.7000000000262,-291.2999999999738
Miley,F,celebrity,2013,2018,5,377,738.0,5.934894195619588,5.1472944428151095,0.7875997528044785,678.800000000032,-59.199999999967986
Ariana,F,celebrity,2014,2009,-5,3699,82.0,8.216088098632316,8.14197209920205,0.07411599943026559,88.80000000000291,6.80000000000291
Ariana,F,celebrity,2014,2010,-4,3476,84.0,8.153925132007862,8.180721227357921,-0.026796095350059446,82.20000000000255,-1.7999999999974534
Ariana,F,celebrity,2014,2011,-3,3455,84.0,8.147867129923947,8.219470355513792,-0.07160322558984511,75.60000000000036,-8.399999999999636
Ariana,F,celebrity,2014,2012,-2,3587,74.0,8.185350223178686,8.258219483669663,-0.07286926049097708,69.0,-5.0
Ariana,F,celebrity,2014,2013,-1,4420,54.0,8.394121193826242,8.296968611825534,0.09715258200070842,62.399999999999636,8.399999999999636
Ariana,F,celebrity,2014,2014,0,5500,37.0,8.612685172875459,8.335717739981419,0.2769674328940397,55.79999999999927,18.799999999999272
Ariana,F,celebrity,2014,2015,1,4970,46.0,8.511376306094673,8.37446686813729,0.13690943795738342,49.19999999999891,3.1999999999989086
Ariana,F,celebrity,2014,2016,2,4608,54.0,8.435766192720509,8.413215996293161,0.022550196427348013,42.599999999998545,-11.400000000001455
Ariana,F,celebrity,2014,2017,3,3888,67.0,8.265907334155747,8.451965124449032,-0.18605779029328495,35.99999999999636,-31.000000000003638
Ariana,F,celebrity,2014,2018,4,3738,68.0,8.226573474977114,8.490714252604903,-0.2641407776277891,29.399999999995998,-38.600000000004
Ariana,F,celebrity,2014,2019,5,3683,69.0,8.211754397375197,8.529463380760788,-0.3177089833855913,22.799999999995634,-46.200000000004366
Khaleesi,F,celebrity,2012,2007,-5,0,,0.0,-0.6734591659967464,0.6734591659967464,,
